Codice,Descrizione,CapoII,CapoIII,IVA_raw,IVA_rates_%,IVA_variable,ISI_raw,ISI_rates_%,Esente_IVA
01,CINEMA,X,X,10%,10,0,-,,0
04,PROIEZIONI IN LOCALI CINEMA DIVERSE DA SPETTACOLO CINEMATOGRAFICO,X,X,10%,10,0,-,,0
05,CALCIO (SERIE A/B ED INTERNAZIONALI,X,--,10% o 22%,10|22,1,-,,0
06,CALCIO (SERIE C ED INFERIORI),X,--,10% o 22%,10|22,1,-,,0
07,TELEDIFFUSIONE CODIFICATA IN LOCALI APERTI AL PUBBLICO,--,--,22%(1) 22%,22,0,-,,0
08,DIFFUSIONE RADIO/TV CON ACCESSO CONDIZIONATO,--,--,22%,22,0,-,,0
10,PUGILATO,X,--,10% o 22%,10|22,1,-,,0
11,CICLISMO,X,--,10% o 22%,10|22,1,-,,0
12,ATLETICA LEGGERA,X,--,10% o 22%,10|22,1,-,,0
13,NUOTO E PALLANUOTO,X,--,10% o 22%,10|22,1,-,,0
14,PALLACANESTRO,X,--,10% o 22%,10|22,1,-,,0
15,PALLAVOLO,X,--,10% o 22%,10|22,1,-,,0
16,RUGBY,X,--,10% o 22%,10|22,1,-,,0
17,BASEBALL,X,--,10% o 22%,10|22,1,-,,0
18,TENNIS,X,--,10% o 22%,10|22,1,-,,0
19,CONCORSI IPPICI,X,--,10% o 22%,10|22,1,-,,0
20,SPORT INVERNALI,X,--,10% o 22%,10|22,1,-,,0
21,AUTOMOBILISMO,X,--,10% o 22%,10|22,1,-,,0
22,MOTOCICLISMO,X,--,10% o 22%,10|22,1,-,,0
23,MOTONAUTICA,X,--,10% o 22%,10|22,1,-,,0
24,CORSE CAVALLI (INGRESSI),X,--,10% o 22%,10|22,1,-,,0
25,SPORT CON SCOMMESSE (INGRESSI),X,--,10% o 22%,10|22,1,-,,0
26,ALTRI SPORT (INGRESSI),X,--,10% o 22%,10|22,1,-,,0
30,CASINÒ (INGRESSI),X,--,22% (1 ),22,0,60%,60,0
33,CASINÒ (PROVENTI DEL GIOCO),--,--,Esente,,0,10%,10,1
41,MUSEI,--,--,Esente,,0,-,,1
42,EVENTI DIVERSI DA SPETTACOLO O INTRATTENIMENTO,--,--,-,,0,-,,0
45,TEATRO PROSA,X,--,10%,10,0,-,,0
46,TEATRO PROSA DIALETTALE,X,--,10%,10,0,-,,0
47,TEATRO REPERTORIO NAPOLETANO,X,--,10%,10,0,-,,0
48,TEATRO LIRICO,X,--,10%,10,0,-,,0
49,BALLETTO CLASSICO E MODERNO,X,--,10%,10,0,-,,0
50,OPERETTA,X,--,10%,10,0,-,,0
51,RIVISTE-COMMEDIE MUSICALI,X,--,10%,10,0,-,,0
52,CONCERTI CLASSICI,X,--,10%,10,0,-,,0
53,CONCERTI MUSICA LEGGERA,X,X,10%,10,0,-,,0
54,ARTE VARIA (IVA 10%),X,X (11),10%,10,0,-,,0
55,BURATTINI-MARIONETTE,X,--,10%,10,0,-,,0
56,RECITALS LETTERARI,X,X,10%,10,0,-,,0
57,CONCERTI BANDISTICI-CORALI,X,X,10%,10,0,-,,0
58,CONCERTI JAZZ,X,--,10%,10,0,-,,0
59,CONCERTI DI DANZA,X,--,10%,10,0,-,,0
60,BALLO CON MUSICA DAL VIVO,X,X,22%,22,0,-,,0
61,BALLO CON MUSICA PREREGISTRATA,X,X,22%,22,0,16%,16,0
64,CONCERTINI CON MUSICA PREREGISTRATA,X,X,22%,22,0,16%,16,0
65,CONCERTINI CON MUSICA DAL VIVO,X,X,22%,22,0,-,,0
67,CONCERTI CORALI,X,--,10%,10,0,-,,0
68,CONCERTI FOLKLORISTICI,X,--,10%,10,0,-,,0
70,FIERE,--,--,22%,22,0,-,,0
71,MOSTRE,--,--,22%(5),22,0,-,,0
72,EVENTI DI RILIEVO INTERNAZIONALE CON ALIQUOTA AGEVOLATA,--,--,,,0,-,,0
74,ARTE VARIA (IVA 22%),X,--,22%,22,0,-,,0
75,CIRCO,X,--,10%,10,0,-,,0
76,SPETTACOLI VIAGGIANTI,X,--,10%,10,0,-,,0
77,PARCHI DIVERTIMENTO E ACQUATICI (con prevalenza attività dello spettacolo viaggiante),X,--,10%,10,0,-,,0
78,PARCHI DIVERTIMENTO E ACQUATICI (senza prevalenza attività dello spettacolo viaggiante),X,--,10%,10,0,-,,0
84,BOWLING,X,--,22%,22,0,8%(7),8,0
85,NOLEGGIO GO-KARTS,X,--,22%,22,0,8%(7),8,0
90,MANIFESTAZIONI MISTE (all'aperto),--,--,,,0,,,0
91,MULTIMEDIALITÀ,X,--,22%,22,0,8%(7),8,0
97,ALTRE ATTIVITÀ DI SPETTACOLO CONGIUNTE CON ALTRE NON DI SPETTACOLO,--,--,,,0,,,0
98,ALTRI SPETTACOLI O INTRATTENIMENTI (in alberghi e villaggi turistici),--,--,,,0,,,0
99,ALBERGHI E VILLAGGI TURISTICI (attività di spettacolo),--,--,,,0,,,0
