Codice;Descrizione;CAPO II;CAPO III;IVA;ISI;isSPORT
1;CINEMA;X;X;10%;;No
4;PROIEZIONI IN LOCALI CINEMA DIVERSE DA SPETTACOLO CINEMATOGRAFICO;X;X;10%;;No
5;CALCIO (SERIE A/B ED INTERNAZIONALI;X;;10%;;yes
6;CALCIO (SERIE C ED INFERIORI);X;;10%;;yes
7;TELEDIFFUSIONE CODIFICATA IN LOCALI APERTI AL PUBBLICO;;;22%;;No
8;DIFFUSIONE RADIO/TV CON ACCESSO CONDIZIONATO;;;22%;;No
10;PUGILATO;X;;10%;;yes
11;CICLISMO;X;;10%;;yes
12;ATLETICA LEGGERA;X;;10%;;yes
13;NUOTO E PALLANUOTO;X;;10%;;yes
14;PALLACANESTRO;X;;10%;;yes
15;PALLAVOLO;X;;10%;;yes
16;RUGBY;X;;10%;;yes
17;BASEBALL;X;;10%;;yes
18;TENNIS;X;;10%;;yes
19;CONCORSI IPPICI;X;;10%;;yes
20;SPORT INVERNALI;X;;10%;;yes
21;AUTOMOBILISMO;X;;10%;;yes
22;MOTOCICLISMO;X;;10%;;yes
23;MOTONAUTICA;X;;10%;;yes
24;CORSE CAVALLI (INGRESSI);X;;10%;;yes
25;SPORT CON SCOMMESSE (INGRESSI);X;;10%;;yes
26;ALTRI SPORT (INGRESSI);X;;10%;;yes
30;CASINñ (INGRESSI);X;;22%;60%;No
33;CASINñ (PROVENTI DEL GIOCO);;;Esente;10%;No
41;MUSEI;;;Esente;;No
42;EVENTI DIVERSI DA SPETTACOLO O INTRATTENIMENTO;;;-;;No
45;TEATRO PROSA;X;;10%;;No
46;TEATRO PROSA DIALETTALE;X;;10%;;No
47;TEATRO REPERTORIO NAPOLETANO;X;;10%;;No
48;TEATRO LIRICO;X;;10%;;No
49;BALLETTO CLASSICO E MODERNO;X;;10%;;No
50;OPERETTA;X;;10%;;No
51;RIVISTE-COMMEDIE MUSICALI;X;;10%;;No
52;CONCERTI CLASSICI;X;;10%;;No
53;CONCERTI MUSICA LEGGERA;X;X;10%;;No
54;ARTE VARIA (IVA 10%);X;X;10%;;No
55;BURATTINI-MARIONETTE;X;;10%;;No
56;RECITALS LETTERARI;X;X;10%;;No
57;CONCERTI BANDISTICI-CORALI;X;X;10%;;No
58;CONCERTI JAZZ;X;;10%;;No
59;CONCERTI DI DANZA;X;;10%;;No
60;BALLO CON MUSICA DAL VIVO;X;X;22%;;No
61;BALLO CON MUSICA PREREGISTRATA;X;X;22%;16%;No
64;CONCERTINI CON MUSICA PREREGISTRATA;X;X;22%;16%;No
65;CONCERTINI CON MUSICA DAL VIVO;X;X;22%;;No
67;CONCERTI CORALI;X;;10%;;No
68;CONCERTI FOLKLORISTICI;X;;10%;;No
70;FIERE;;;22%;;No
71;MOSTRE;;;22%;;No
711;MOSTRE;;;Esente;;No
72;EVENTI DI RILIEVO INTERNAZIONALE CON ALIQUOTA AGEVOLATA;;;;;No
74;ARTE VARIA (IVA 22%);X;;22%;;No
75;CIRCO;X;;10%;;No
76;SPETTACOLI VIAGGIANTI;X;;10%;;No
77;PARCHI DIVERTIMENTO E ACQUATICI (con prevalenza attivitˆ dello spettacolo viaggiante);X;;10%;;No
78;PARCHI DIVERTIMENTO E ACQUATICI (senza prevalenza attivitˆ dello spettacolo viaggiante);X;;10%;;No
84;BOWLING;X;;22%;8%(o 6%);No
85;NOLEGGIO GO-KARTS;X;;22%;8%(o 6%);No
90;MANIFESTAZIONI MISTE (all'aperto);;;;;No
91;MULTIMEDIALITË;X;;22%;8%(o 6%);No
97;ALTRE ATTIVITË DI SPETTACOLO CONGIUNTE CON ALTRE NON DI SPETTACOLO;;;;;No
98;"ALTRI SPETTACOLI O INTRATTENIMENTI (in alberghi e
villaggi turistici)";;;;;No
99;ALBERGHI E VILLAGGI TURISTICI (attivitˆ di spettacolo);;;;;No
